FirstName,LastName,StartDate,ExitDate,Title,Supervisor,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,TerminationType,TerminationDescription,DepartmentType,Division,DOB,State,JobFunctionDescription,GenderCode,LocationCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating,Employee ID,Survey Date,Engagement Score,Satisfaction Score,Work-Life Balance Score,Training Date,Training Program Name,Training Type,Training Outcome,Location,Trainer,Training Duration(Days),Training Cost
Myriam,Givens,4-Aug-23,,Area Sales Manager,Troy White,SVG,Active,Contract,Zone B,Temporary,Unk,,Sales,Field Operations,26-01-1964,IN,Technician,Female,46204,Other,Single,Fully Meets,5,3437,15-10-2022,3,2,5,20-Oct-22,Technical Skills,Internal,Failed,Jenniferhaven,Mrs. Valerie Brown,1,455.68
Dheepa,Nguyen,10-Aug-18,4-Nov-19,Area Sales Manager,Brian Miller,MSC,Active,Full-Time,Zone C,Temporary,Retirement,Alone once than. More condition pay far.,Sales,General - Con,6/4/1948,GA,Technician,Female,30428,Asian,Married,Fully Meets,3,3438,28-10-2022,4,2,5,5-Oct-22,Technical Skills,Internal,Failed,Nunezmouth,Sharon Flores DDS,2,208.17
Bartholemew,Khemmich,25-May-22,27-Nov-22,Area Sales Manager,Charles Parks,EW,Active,Full-Time,Zone A,Temporary,Involuntary,Foot in theory minute recognize test.,Sales,Splicing,24-11-1981,CO,Splicer,Male,80820,Other,Single,Fully Meets,3,3439,30-10-2022,1,2,5,9-Mar-23,Technical Skills,External,Incomplete,Port Margaretview,Kimberly Garcia,1,421.07
Xana,Potts,5-Dec-19,17-Feb-23,Area Sales Manager,Gregory Walker,CCDR,Active,Contract,Zone A,Full-Time,Resignation,Degree wish science when thing week old.,Sales,Finance & Accounting,6/11/1951,KY,Controller,Female,40220,White,Divorced,Fully Meets,3,3440,24-09-2022,1,4,5,29-May-23,Communication Skills,External,Failed,Nancyview,Christopher Underwood,1,649.03
Prater,Jeremy,28-Apr-19,,Area Sales Manager,Tyler Lewis,BPC,Active,Part-Time,Zone A,Part-Time,Unk,,Sales,General - Con,21-11-1989,NV,Lineman,Male,89139,Asian,Widowed,Exceeds,4,3441,30-10-2022,4,2,5,8-Jan-23,Project Management,Internal,Passed,Carrollside,Robert Kane,4,450.2
Kaylah,Moon,9-Jul-19,16-Jun-22,Area Sales Manager,Ashley Scott,PYZ,Active,Full-Time,Zone A,Full-Time,Retirement,Fear particular method stage.,IT/IS,Field Operations,24-11-1952,MA,Laborer,Male,2810,Black,Single,Exceeds,2,3442,31-10-2022,2,5,3,6-Mar-23,Project Management,External,Failed,Port Davidshire,Victoria Berry,4,286.87
Kristen,Tate,5-Apr-21,12-May-23,Area Sales Manager,Lauren Jones,WBL,Active,Full-Time,Zone C,Part-Time,Voluntary,Wall body wonder successful.,IT/IS,Project Management - Con,8/4/1994,KY,Coordinator,Male,2621,Asian,Widowed,Fully Meets,3,3443,29-04-2023,2,2,4,18-Feb-23,Technical Skills,External,Failed,East Katie,Gary Thornton,3,402.13
Bobby,Rodgers,28-Nov-21,4-Feb-22,Area Sales Manager,Matthew Jackson,NEL,Active,Contract,Zone A,Part-Time,Voluntary,Visit foot nearly radio treatment.,Sales,Engineers,15-11-1983,KY,Director,Male,44553,Other,Widowed,Fully Meets,3,3444,14-12-2022,1,2,4,2-Nov-22,Technical Skills,External,Failed,Jacobburgh,William Willis,2,388.84
Reid,Park,16-Jan-21,,Area Sales Manager,Michelle Mitchell,PL,Active,Contract,Zone C,Full-Time,Unk,,Sales,Project Management - Con,7/12/1985,KY,Supervisor,Female,5360,Other,Married,Exceeds,4,3445,7/5/2023,4,5,2,14-Jul-23,Project Management,External,Completed,Ryanmouth,Andre Wu,2,879.64
Hector,Dalton,24-Aug-21,,Area Sales Manager,Sydney French,BPC,Active,Part-Time,Zone A,Part-Time,Unk,,Sales,Field Operations,1/5/1996,TX,Driller,Female,16325,White,Divorced,Exceeds,2,3446,21-05-2023,4,3,5,11-Dec-22,Technical Skills,Internal,Failed,South John,Olivia Holland,5,701.13
Mariela,Schultz,26-May-20,18-Jun-23,Area Sales Manager,Michelle Evans MD,CCDR,Future Start,Part-Time,Zone C,Part-Time,Involuntary,Unit pass office southern break one.,Sales,General - Con,17-02-1964,TX,Technician,Female,43481,Asian,Widowed,Fully Meets,3,3447,8/5/2023,5,1,4,2-Apr-23,Customer Service,Internal,Incomplete,Kristenton,Kimberly Doyle,3,353.21
Angela,Molina,1-Oct-19,6-Nov-20,Area Sales Manager,Patricia Cook,SVG,Future Start,Full-Time,Zone A,Temporary,Retirement,List class mind.,Sales,Engineers,12/5/1958,TX,Specialist,Male,50705,Asian,Widowed,Fully Meets,3,3448,28-03-2023,5,1,5,16-May-23,Communication Skills,Internal,Completed,West Jamesview,Lindsay Williams,4,911.05
Gerald,Preston,10-May-23,27-May-23,Area Sales Manager,Ashley Reeves,EW,Future Start,Contract,Zone B,Temporary,Involuntary,Price third parent evening.,Sales,General - Eng,18-09-1992,CO,Technician,Male,5168,Black,Single,Fully Meets,5,3449,30-06-2023,3,2,1,2-Oct-22,Communication Skills,External,Completed,Josebury,Joseph Faulkner,3,242.21
Reilly,Moyer,1-Sep-20,4-Dec-22,Area Sales Manager,Stanley Harvey,MSC,Active,Contract,Zone C,Temporary,Resignation,Cause military a sense. Doctor property may.,Sales,Field Operations,11/8/1994,CO,Operator,Male,11765,Other,Single,Exceeds,2,3450,18-01-2023,4,3,5,12-Jan-23,Technical Skills,Internal,Completed,South Benjaminfurt,Laura Davis,4,186.07
Carlee,French,18-Feb-21,11-Nov-22,Area Sales Manager,Michael Bradshaw,TNS,Active,Contract,Zone C,Full-Time,Voluntary,Station another son positive.,Sales,General - Con,15-01-1968,CO,Technician,Male,71071,Other,Divorced,Exceeds,3,3451,29-04-2023,5,1,2,22-Mar-23,Technical Skills,External,Completed,Duncanview,Betty Williams,1,921.97
Jaydon,Blackburn,8-Nov-22,,Area Sales Manager,Debbie Crosby,PYZ,Active,Part-Time,Zone A,Part-Time,Unk,,Sales,General - Con,7/1/1947,IN,Foreman,Male,12122,Black,Divorced,Fully Meets,2,3452,19-01-2023,5,5,2,13-Sep-22,Customer Service,Internal,Failed,Lake Jonathan,Daniel Miller,1,691.04
Bridger,Carter,13-Oct-22,,Area Sales Manager,Elizabeth Taylor,WBL,Active,Contract,Zone C,Part-Time,Unk,,Sales,Fielders,7/4/1982,MA,Engineer,Male,87065,White,Widowed,Fully Meets,4,3453,17-09-2022,5,5,3,25-Aug-22,Customer Service,External,Completed,Port Jamesshire,Samantha Hodge,5,964.44
Leon,Beard,11-Sep-22,,Area Sales Manager,Brian Dunlap,PYZ,Active,Full-Time,Zone C,Full-Time,Unk,,IT/IS,General - Con,29-01-1970,KY,Foreman,Male,10415,Hispanic,Married,Needs Improvement,4,3454,14-03-2023,4,4,2,7-Feb-23,Communication Skills,Internal,Passed,West Brandon,Jonathan Brady,3,184.9
Charity,Miranda,29-Jun-21,5-Jul-22,Area Sales Manager,Daniel Rodriguez,WBL,Active,Full-Time,Zone C,Temporary,Resignation,Pm local take example fund. Small heavy listen.,Sales,Project Management - Eng,18-01-1999,KY,Manager,Male,3763,Other,Widowed,Exceeds,4,3455,12/8/2022,2,1,1,17-Mar-23,Project Management,External,Passed,Wadefurt,Timothy Moreno,1,220.41
Axel,Howe,6-Mar-23,,Area Sales Manager,Martin Hammond,NEL,Active,Full-Time,Zone A,Temporary,Unk,,Sales,Field Operations,25-09-1946,KY,Technician,Female,79623,Black,Divorced,Fully Meets,3,3456,30-03-2023,4,3,4,8-Jun-23,Technical Skills,External,Passed,East Aaron,Morgan Wright,2,336.82
Milton,Wall,25-Sep-20,,Area Sales Manager,Sara Bell,PL,Active,Full-Time,Zone B,Temporary,Unk,,Sales,Engineers,23-08-1947,KY,Technician,Female,69189,White,Divorced,Needs Improvement,3,3457,21-04-2023,5,1,4,15-Apr-23,Customer Service,External,Completed,Williamsbury,Jeremy Garcia,4,485.73
Cory,Robinson,28-Apr-22,24-May-23,Area Sales Manager,Elizabeth Anderson,BPC,Future Start,Contract,Zone A,Full-Time,Voluntary,Several young whether that expert.,Sales,Field Operations,12/8/1996,TX,Laborer,Female,5194,Hispanic,Single,Needs Improvement,3,3458,14-02-2023,2,5,5,2-Dec-22,Communication Skills,Internal,Failed,North Deborahville,Joseph Ward,2,409.27
Saniya,Yu,18-Apr-21,21-Jun-22,Area Sales Manager,Erin Bailey,CCDR,Future Start,Part-Time,Zone A,Full-Time,Retirement,Science end approach democratic treatment.,Sales,General - Con,9/2/1944,TX,Splicer,Male,8779,Black,Widowed,Exceeds,2,3459,26-10-2022,4,4,3,14-Jun-23,Communication Skills,Internal,Passed,Chapmanbury,Joseph Thomas,4,168.32
Alisa,James,19-Feb-20,,Area Sales Manager,Dennis Henderson,SVG,Active,Full-Time,Zone A,Full-Time,Unk,,Sales,Aerial,10/2/1944,TX,Lineman,Male,74682,Asian,Married,Fully Meets,3,3460,16-11-2022,4,3,3,8-Jul-23,Communication Skills,External,Incomplete,Paulashire,Willie Hernandez,5,919.52
Lincoln,Compton,18-Jul-19,1-Oct-21,Area Sales Manager,Tammy Conner,EW,Future Start,Full-Time,Zone C,Part-Time,Resignation,Base scene central unit per argue. Might last of.,Sales,General - Con,29-12-1997,CO,Foreman,Male,78046,Hispanic,Married,Needs Improvement,1,3461,24-04-2023,1,4,4,5-Jan-23,Technical Skills,External,Completed,Taylorland,Micheal Munoz,2,948.43
Aliana,Nolan,13-Sep-18,17-Sep-21,Area Sales Manager,Brianna Mathews,MSC,Active,Contract,Zone A,Full-Time,Involuntary,Yourself book budget product.,Sales,Field Operations,9/8/1942,CO,Coordinator,Male,27270,Hispanic,Divorced,Needs Improvement,3,3462,8/11/2022,3,3,1,19-Jul-23,Project Management,External,Completed,Erinville,Stacey Esparza,1,320.01
Kayden,Dodson,30-Apr-20,18-Jul-21,Area Sales Manager,Jessica Peters,TNS,Active,Part-Time,Zone A,Temporary,Retirement,Paper can score else investment.,Sales,Field Operations,21-06-1951,IN,Tower Hand,Male,12703,Hispanic,Single,Fully Meets,1,3463,18-09-2022,4,3,4,29-Aug-22,Technical Skills,Internal,Incomplete,Harperchester,Heather Edwards,4,926.19
James,Duke,3-Dec-18,9-Sep-22,Area Sales Manager,Mark Harris,PYZ,Active,Contract,Zone B,Full-Time,Involuntary,Stuff different color how.,Sales,Shop (Fleet),17-06-1998,MA,Mechanic,Male,66835,Black,Widowed,Needs Improvement,5,3464,29-12-2022,2,5,3,13-Nov-22,Customer Service,External,Passed,Trevorside,Michaela Wright,2,290.47
Willow,Stuart,8-Nov-21,,Area Sales Manager,Elizabeth Tapia,WBL,Active,Full-Time,Zone B,Full-Time,Unk,,Sales,General - Con,7/1/1962,MA,Flagger,Male,66150,Asian,Divorced,Needs Improvement,3,3465,19-05-2023,5,4,3,4-Jun-23,Communication Skills,External,Incomplete,Port Alexaborough,Trevor Perry,1,706.1
Clayton,Walker,13-Apr-22,10-Apr-23,Area Sales Manager,Jon Holden,PYZ,Active,Part-Time,Zone C,Full-Time,Retirement,Sign figure employee card education.,IT/IS,Aerial,26-01-1979,KY,Supervisor,Male,64288,Other,Married,Exceeds,4,3466,4/8/2023,1,3,4,7-Dec-22,Customer Service,External,Passed,West Angelaside,Erika Jackson,3,447.66
Celia,Curtis,6-May-20,,Area Sales Manager,Michael Odonnell,WBL,Active,Contract,Zone A,Part-Time,Unk,,Sales,Fielders,14-05-1987,KY,Engineer,Female,94333,Asian,Divorced,Exceeds,1,3467,27-06-2023,4,3,2,24-Feb-23,Technical Skills,Internal,Incomplete,Mariabury,Regina Robinson,1,759.7
Valentin,Reilly,9-Sep-19,,Area Sales Manager,Andres Parker,NEL,Active,Contract,Zone B,Temporary,Unk,,Sales,Wireline Construction,26-04-1998,KY,Foreman,Female,45453,Black,Single,Fully Meets,4,3468,5/2/2023,3,1,3,10-May-23,Customer Service,Internal,Completed,Patelport,Michael Garcia,3,180.63
Ryland,Shepherd,29-Jul-20,5-Jan-23,Area Sales Manager,James Berry,PL,Future Start,Contract,Zone B,Full-Time,Resignation,Right cut matter arrive difference.,Sales,Field Operations,21-02-1945,TX,Driver,Female,81905,Asian,Divorced,Needs Improvement,3,3469,1/8/2023,5,5,1,15-Aug-22,Communication Skills,Internal,Failed,North Jeanetteville,Lisa Barnes,2,552.54
Esteban,Gilbert,14-Nov-18,28-Oct-19,Area Sales Manager,Gail Ali,BPC,Future Start,Contract,Zone C,Part-Time,Retirement,Speak professor statement result.,Sales,Field Operations,31-05-1997,TX,Technician,Female,12491,Black,Married,Needs Improvement,3,3470,6/5/2023,1,2,3,26-Sep-22,Project Management,External,Passed,New Molly,Katie Wong MD,1,986.96
Jonathan,Adkins,29-Feb-20,,Area Sales Manager,John Marshall,CCDR,Active,Part-Time,Zone C,Temporary,Unk,,Sales,Field Operations,3/1/1967,TX,Foreman,Male,64350,Asian,Married,Fully Meets,4,3471,30-04-2023,2,4,1,23-Mar-23,Customer Service,External,Passed,West Jonathan,Frank Joyce,3,109.98
Nevaeh,Soto,15-Jan-23,,Area Sales Manager,Jessica Chang,SVG,Active,Contract,Zone C,Full-Time,Unk,,Sales,Project Management - Con,12/1/1982,TX,Director,Male,74124,Other,Married,Exceeds,4,3472,26-07-2023,5,5,4,12-Feb-23,Technical Skills,External,Completed,Port Karatown,Matthew Meyer,5,537.24
Chaim,Mata,29-Jun-23,,Area Sales Manager,Desiree Vang,EW,Active,Part-Time,Zone A,Temporary,Unk,,Sales,Shop (Fleet),1/10/1950,CO,Manager,Male,33379,Hispanic,Widowed,Exceeds,2,3473,28-06-2023,3,4,4,6-Dec-22,Communication Skills,External,Failed,Wagnertown,Frank Harris,5,789.99
Arely,Patton,9-Mar-20,,Area Sales Manager,Andrew Goodman,MSC,Active,Full-Time,Zone A,Temporary,Unk,,Sales,Catv,16-12-1965,CO,Laborer,Male,34481,Other,Divorced,Fully Meets,2,3474,9/5/2023,3,1,2,1-Sep-22,Customer Service,External,Incomplete,New Michaelport,Justin Rodriguez,5,155.51
Vance,Trujillo,21-Sep-21,13-Apr-23,Area Sales Manager,Rebecca Simpson,TNS,Active,Full-Time,Zone C,Temporary,Resignation,Expert challenge education air none money wide.,Sales,General - Con,25-12-1957,IN,Foreman,Male,90406,Asian,Widowed,Fully Meets,2,3475,25-01-2023,4,3,4,2-Nov-22,Customer Service,Internal,Passed,South Taylorfurt,Jenna Sherman,2,648.76
Charlie,Koch,12-Jun-23,6-Jul-23,Area Sales Manager,Samantha Cardenas,PYZ,Active,Part-Time,Zone A,Temporary,Voluntary,Buy become improve guess business know.,Sales,Fielders,20-06-1945,MA,Engineer,Male,95774,Asian,Divorced,Needs Improvement,2,3476,3/3/2023,5,5,3,18-Nov-22,Leadership Development,Internal,Incomplete,Stephanieshire,Dr. Margaret Allen,4,533.5
Sonny,Horne,7-Apr-19,,Area Sales Manager,Nancy Johnson,PYZ,Active,Part-Time,Zone A,Full-Time,Unk,,IT/IS,Aerial,3/12/1969,KY,Laborer,Female,16058,Asian,Widowed,Needs Improvement,2,3477,5/12/2022,1,2,1,7-Nov-22,Leadership Development,External,Failed,New Cynthia,Kristin Terry,5,429.48
Thomas,Chandler,17-Sep-18,9-Jan-19,Area Sales Manager,Richard Hodges,WBL,Active,Full-Time,Zone C,Temporary,Resignation,Read family dark scene scene guess.,Sales,Wireline Construction,10/10/1957,KY,Groundman,Female,45149,Hispanic,Married,Fully Meets,2,3478,29-11-2022,3,4,1,5-Oct-22,Technical Skills,External,Incomplete,Port Matthew,Daniel Solomon,1,526.74
Sarai,Stone,2-Aug-22,2-Apr-23,Area Sales Manager,Madison Wilson,NEL,Active,Contract,Zone A,Part-Time,Involuntary,Somebody great could yet.,Sales,Project Management - Con,17-05-1962,TX,Technician,Female,96336,Hispanic,Widowed,Fully Meets,2,3479,3/11/2022,4,4,4,18-Jan-23,Communication Skills,Internal,Passed,Stephanieburgh,Michael Dixon,3,443.45
Jerimiah,Harmon,8-Sep-22,16-Oct-22,Area Sales Manager,Eric King,PL,Future Start,Full-Time,Zone C,Temporary,Retirement,View vote contain within fight cup party war.,Sales,Catv,9/8/1946,TX,Supervisor,Female,75671,Black,Widowed,Fully Meets,1,3480,25-07-2023,1,5,3,2-Mar-23,Leadership Development,External,Failed,North Amyfurt,Robert Hill,1,887.15
Leland,Allen,7-Mar-19,31-May-21,Area Sales Manager,Brandon Harris,BPC,Future Start,Full-Time,Zone C,Part-Time,Voluntary,Buy house certain wrong research chair.,Sales,Wireline Construction,11/12/1965,TX,Splicer,Male,61149,Other,Widowed,Fully Meets,4,3481,2/3/2023,5,2,4,29-May-23,Technical Skills,External,Incomplete,East Charleston,Glenda Ryan,5,758.95
Cristal,Bolton,29-Oct-19,7-Feb-21,Area Sales Manager,Matthew Flores,CCDR,Future Start,Full-Time,Zone A,Temporary,Resignation,Miss onto none our discussion year.,Sales,Catv,11/2/1990,TX,Lineman,Male,57302,Asian,Divorced,Needs Improvement,2,3482,22-10-2022,4,5,5,3-Mar-23,Technical Skills,Internal,Failed,Saraland,Jennifer Brown,1,627.11
Jaslene,Harding,26-Sep-21,,Area Sales Manager,Krystal Hamilton,SVG,Active,Part-Time,Zone B,Temporary,Unk,,Sales,Project Management - Con,19-06-1964,CO,Coordinator,Male,42605,Asian,Widowed,Fully Meets,1,3483,23-10-2022,1,4,5,10-Aug-22,Project Management,External,Passed,Manuelfort,Cody Adams,4,111.96
Albert,Gonzalez,29-Aug-18,,Area Sales Manager,Amber Hernandez,EW,Active,Part-Time,Zone B,Full-Time,Unk,,Sales,General - Con,18-07-1995,CO,Model Assistant,Male,64036,Other,Single,Fully Meets,4,3484,16-09-2022,1,2,4,27-Jun-23,Project Management,External,Passed,Johnsonport,Justin Barton,1,795.7
Jaiden,Johnson,26-Oct-21,,Area Sales Manager,Patricia Smith,MSC,Active,Contract,Zone C,Full-Time,Unk,,Sales,Field Operations,22-08-1994,CO,Laborer,Male,23173,White,Widowed,Fully Meets,5,3485,7/5/2023,2,1,3,7-Aug-22,Customer Service,Internal,Passed,Port Bradley,Michael Chase,2,796.45
Brendon,Mcconnell,31-Oct-22,8-Jun-23,Area Sales Manager,Victoria Krause,TNS,Active,Part-Time,Zone C,Temporary,Involuntary,Nature finish modern push former American.,Sales,Fielders,14-11-1990,IN,Engineer,Male,19665,Other,Widowed,Fully Meets,4,3486,27-08-2022,3,1,1,23-Jul-23,Project Management,Internal,Completed,Lake Angelafort,Daniel Jones,5,812.59
Kimora,Parsons,15-Mar-23,,Area Sales Manager,Jesse Hunt,BPC,Active,Contract,Zone B,Part-Time,Unk,,Sales,General - Sga,1/2/1994,KY,Administrator,Female,41161,Other,Divorced,Fully Meets,4,3487,23-09-2022,5,4,1,17-Jul-23,Project Management,External,Completed,Lake Lindsayton,Duane Trevino,5,132.97
Willie,Patterson,9-Sep-22,,Area Sales Manager,Shane Jones,CCDR,Active,Contract,Zone B,Full-Time,Unk,,Sales,Wireline Construction,12/11/1997,KY,Lineman,Female,52499,Asian,Single,Fully Meets,2,3488,11/3/2023,1,5,1,20-Sep-22,Communication Skills,Internal,Completed,West Cynthia,Terrence Hopkins,1,308.19
Devyn,Powers,4-Mar-22,,Area Sales Manager,Jessica Murphy,EW,Active,Part-Time,Zone A,Temporary,Unk,,Sales,Field Operations,2/5/1953,TX,Laborer,Female,25634,Black,Divorced,Fully Meets,2,3489,3/12/2022,2,4,5,2-Jul-23,Project Management,Internal,Passed,Isabelchester,Brittany Savage,1,131.41
Weston,Preston,11-Feb-19,,Area Sales Manager,Crystal Wallace,MSC,Active,Part-Time,Zone A,Part-Time,Unk,,Sales,General - Sga,10/7/1991,TX,Director,Female,37965,Hispanic,Divorced,Fully Meets,2,3490,12/10/2022,5,3,2,19-Jul-23,Technical Skills,Internal,Failed,Lake Robertberg,Samantha Williams,3,389.59
Lennon,Buchanan,26-Jan-21,,Area Sales Manager,Tina Nelson,NEL,Active,Contract,Zone B,Full-Time,Unk,,Sales,Field Operations,2/6/1973,TX,Driver,Male,39504,White,Widowed,Fully Meets,5,3491,10/9/2022,3,4,5,14-Jul-23,Project Management,Internal,Incomplete,Petersville,Stephen Blair,3,442.56
Vicente,Merritt,26-Nov-19,,Area Sales Manager,Ashley Smith,PL,Active,Full-Time,Zone C,Full-Time,Unk,,Sales,General - Con,8/1/1993,CO,Clerk,Male,31676,Asian,Married,Fully Meets,1,3492,13-01-2023,1,5,5,6-Sep-22,Project Management,Internal,Incomplete,Christinahaven,Amanda Greene,3,327.66
Hugo,Clay,15-Jul-19,,Area Sales Manager,Eric Taylor,PYZ,Active,Full-Time,Zone C,Full-Time,Unk,,Sales,Project Management - Con,17-04-1984,CO,Project Manager,Male,28784,Asian,Widowed,Fully Meets,5,3493,2/4/2023,3,1,5,19-Feb-23,Project Management,Internal,Completed,Joelmouth,Cathy Fleming,3,400.95
Cohen,Raymond,18-Jun-20,,Area Sales Manager,Jacob Snyder,SVG,Active,Contract,Zone B,Full-Time,Unk,,Sales,General - Con,8/2/1994,CO,Technician,Male,90983,Black,Single,Fully Meets,4,3494,15-12-2022,1,2,1,11-Feb-23,Technical Skills,Internal,Completed,Victoriahaven,James Perez,2,910.45
Tia,Ellis,22-Jun-23,22-Jul-23,Area Sales Manager,Daniel Cabrera,TNS,Active,Part-Time,Zone B,Temporary,Retirement,Night company image able suggest.,Sales,Wireline Construction,27-01-1993,IN,Laborer,Male,1115,Other,Married,Fully Meets,4,3495,8/9/2022,4,3,5,21-Dec-22,Customer Service,External,Passed,Port Andrew,Christian Higgins,1,701.55
Aspen,Bentley,2-Dec-21,,Area Sales Manager,Barbara Garcia,WBL,Active,Contract,Zone A,Part-Time,Unk,,Sales,General - Sga,19-09-1964,CA,Administrator,Male,72233,Other,Widowed,Fully Meets,5,3496,26-12-2022,1,3,2,16-Feb-23,Project Management,Internal,Incomplete,Port Ashleybury,Monica Keller,1,806.87
Graham,Rodriguez,8-Dec-21,,Area Sales Manager,Kendra Murray,TNS,Active,Part-Time,Zone C,Temporary,Unk,,Sales,Project Management - Con,18-02-1981,OR,Lineman,Female,58210,Hispanic,Widowed,Fully Meets,1,3497,18-09-2022,2,3,4,11-Mar-23,Communication Skills,Internal,Completed,Kelseyborough,Sydney Johnson,2,184.21
Joel,Mcmillan,26-Apr-23,22-Jun-23,Area Sales Manager,Peter Harvey,PYZ,Active,Full-Time,Zone A,Full-Time,Voluntary,About allow article. For gas player magazine.,Sales,General - Sga,17-10-1998,KY,Laborer,Female,36087,White,Widowed,Fully Meets,2,3498,19-06-2023,3,3,4,30-May-23,Project Management,External,Failed,Yorkport,Amy Clark,1,208.43
Maci,Frost,25-Sep-18,20-Dec-21,Area Sales Manager,Patrick Daniel,WBL,Active,Part-Time,Zone C,Temporary,Involuntary,Seem hand dog. Us six beyond place fund well.,Sales,Field Operations,16-01-1971,KY,Technician,Female,61457,Asian,Widowed,Fully Meets,5,3499,21-07-2023,5,3,5,30-Jan-23,Technical Skills,Internal,Incomplete,East Bradley,Angela Lee,2,762.45
Nevaeh,Lucas,20-Nov-18,21-Jun-20,Area Sales Manager,Bryan Douglas,NEL,Active,Full-Time,Zone B,Part-Time,Voluntary,Game hour boy not write somebody owner.,Sales,Shop (Fleet),25-02-2000,TX,Mechanic,Female,80424,White,Divorced,Fully Meets,1,3500,14-05-2023,4,1,4,15-Jun-23,Leadership Development,External,Incomplete,Smithchester,Larry Morales,4,779.79
